role_id,attack,method,result,material
B06_manifest_selfconsistency,Inkonsistente Rollenzuordnung fuer strukturell gleichartige Ledger,S11_CROSS_MODEL_FINDINGS_REGISTER.csv=P0_AUTHORITATIVE_HANDOFF (Z4) vs. S11_PROJECT_TRANSFER_CRITICAL_DECISIONS.csv=TRANSFER_QC_CONTRACT (Z11),Zwei parallele Kern-CSV-Ledger (XMR-CP vs DEC) in unterschiedliche Autoritaetsklassen einsortiert ohne erkennbaren Grund -> Rollen-Taxonomie nicht trennscharf,MINOR
B06_manifest_selfconsistency,Manifest-Schema ohne Provenienz/Timestamp/Normalisierungs-Spalte,"Spalten nur relative_path,size_bytes,sha256,artifact_role,required; die CRLF-vs-LF-Spaltung beweist >=2 Erzeugungsumgebungen, die nicht ausgedrueckt werden koen",Kein Feld verankert WELCHER Lauf/Umgebung die Hashes erzeugt hat und dass LF/CRLF-Varianten aequivalent sind -> jeder strikte Hash/Size-Check der Inline-Form scheitert an 3 Spalten ohne Erklaerungsmoe,DIVERGENCE
B06_manifest_selfconsistency,Physische Materialisierungsmenge weicht von jedem einzelnen deklarierten Inventar ab,"4 physisch praesente off-git Dateien (Manifest, Register, Decisions, State.json); Manifest deklariert Register/Decisions/State.json aber NICHT sich selbst",Eine der 4 tatsaechlich gelieferten Dateien fehlt in ihrem eigenen Inventar -> Bruch zwischen materialisiertem Set und deklariertem Set; keine geschlossene Rueckrechnung moeglich,CONTINUITY_BREAK
B07_provenance,"Wurzeldokument ist nicht selbst-attestiert: AUTHORITATIVE_CONTEXT_MANIFEST.csv listet 17 Assets, aber nicht sich selbst; kein Selbst-Hash, keine Gegen-Attestierung. Der Anker aller 17 Hashes haengt an","Read Manifest (17 Zeilen, kein Eigen-Eintrag); shasum -a 256 des Manifests; grep nach Selbstreferenz/Signer -> keiner.",Trust-Root hat keine Wurzel: die Authoritaet der gesamten Hash-Tabelle reduziert sich auf 'wurde inline eingefuegt'.,MATERIAL_OMISSION
B07_provenance,"Deklarierte SHA256 der beiden CSV nicht aus dem Inline-Kanal reproduzierbar: Manifest hasht CRLF-Originale, inline vorliegende Dateien sind reines LF.","perl -pe 's/\n/\r\n/' | shasum: LF->CRLF-Rekonstruktion ergibt exakt 00066473… (Register) und 1216a780… (Decisions), waehrend die realen LF-Dateien ccfac834…/f9","Der byte-Referenzwert der Vertrauenswurzel passt nicht auf das, was Claude tatsaechlich haelt; Herkunftsnachweis bricht an der Kanalgrenze (verlustbehaftete Zeilenend-Transformation).",DIVERGENCE
B07_provenance,"Inkonsistente Normalisierung innerhalb derselben Vertrauenswurzel: JSON wurde als LF gehasht (matcht), die CSV als CRLF (matchen nicht). Der 'JSON-Treffer' ist damit kein Pipeline-Beweis, sondern Zufa",Kontrolle: CRLF-JSON = 59de0dcb… ≠ deklariert 6ee04805…; LF-JSON = 6ee04805… = deklariert. Zwei Konventionen in einem Manifest.,Hashing-Verfahren der Wurzel ist nicht deterministisch/undokumentiert; selbst der einzige Match ist nicht verlaesslich als Provenienzbeleg wertbar.,DIVERGENCE
B07_provenance,Byte-exakte Originale existieren nirgends lokal: erschoepfende Hash-Suche ueber den gesamten Ledger-Baum reproduziert keinen der deklarierten Hashes.,"find . -type f -size -200k | shasum-Schleife gegen 00066473…, 1216a780…, 25cbf6ed… -> 'no local file reproduces this hash' fuer alle.","Die autoritative Byte-Quelle lebt ausschliesslich im ChatGPT-Container; lokal unauffindbar, unauditierbar, nicht wiederherstellbar.",MATERIAL_OMISSION
B07_provenance,"13/17 Manifest-Assets weder inline noch namentlich auf Platte: Claude hat weder Inhalt noch Existenzbeweis, nur die Manifest-Behauptung.","find ~ nach S11_PROJECT_HANDOFF_MASTER.md, S11_EVIDENCE_INDEX.md, Handoff-ZIP -> 0 Treffer.",Ueber diese Assets ist keine Aussage moeglich ausser 'laut Manifest existent mit deklariertem Hash'; kein unabhaengiger Existenz- oder Byte-Nachweis.,MATERIAL_OMISSION
B07_provenance,"Ledger-Verzeichnis ist nicht versioniert: ~/wpno-secure-case-ledgers ist kein git-Repo, die Transferdateien sind untracked.",git rev-parse --is-inside-work-tree -> 'fatal: not a git repository'.,"Keine manipulationssichere Historie, keine Provenienz-Kette, kein signierter Commit bindet die Dateien; jederzeit unbemerkt ueberschreibbar.",MATERIAL_OMISSION
B07_provenance,Keine kryptographische Signatur/Sidecar: weder .sig/.asc/GPG noch Checksum-Datei noch Autorenschaft an den 4 Dateien oder dem Manifest.,"ls des Verzeichnisses + grep nach sign/gpg/signer/provenance -> keine Signaturartefakte, keine Herkunftsmetadaten.",Authentizitaet ruht allein auf 'inline eingefuegt' = unauthentifiziert; keine Nichtabstreitbarkeit.,CONTINUITY_BREAK
B07_provenance,"Trust-Root ist vom Produkt-Repo entkoppelt: keine der 4 Dateien in wpno-rechtsprechung-db getrackt, kein Cross-Anchor zum Code-Baseline main=5ebc7ad.",git ls-files/log --all fuer manifest/cross_model/critical_decisions/project_state -> leer.,Autoritativer Kontext und Produktbaseline sind disjunkt; keine gegenseitige Verankerung -> Provenienz kann nicht ueber den Repo-Zustand quergeprueft werden.,DIVERGENCE
B07_provenance,"JSON-Match hat schwache Semantik + Statuswiderspruch: eine State-Datei kann ihren eigenen Hash nicht enthalten; der Match belegt nur Manifest≙Inline-JSON in einem Zeitpunkt, nicht Realitaetstreue. Die","Read JSON (current_control_plane_candidate.attestation) vs. Baseline-Fakt 'keine V3-Attestierung, 0 candidate-refs'.","Der autoritative Kontext behauptet einen Provenienz-/Attestierungsstatus, den das reale Repo nicht bestaetigt.",DIVERGENCE
B07_provenance,Auch die Groessen-Spalte des Manifests ist CRLF-basiert (5297/4100) und weicht von den Inline-Bytes ab (5271/4071).,"wc -c der realen Dateien vs. Manifest-size_bytes; Differenz 26/29 = Zeilenzahl (LF->CRLF +1 Byte/Zeile), verifiziert via wc -l = 26 bzw. 29.",Selbst die menschenlesbare Sichtpruefung 'Groesse stimmt' fuehrt in die Irre wie der Hash; kein manueller Fallback-Nachweis moeglich.,DIVERGENCE
B07_provenance,"Zeitstempel-Provenienz ist rein filesystembasiert: alle 4 Dateien mtime 2026-07-13 18:02-18:03, frisch lokal geschrieben; keine eingebettete Erstellungs-/Autorenmetadaten binden sie an die im JSON gen",ls -la mtimes vs. JSON date-Feld; keine internen Metadaten in den CSV/JSON.,"Einziger 'wann/wo'-Beleg ist die lokale Schreibzeit, die jeder Prozess setzen kann -> kein belastbarer Herkunfts-Zeitanker.",MINOR
B07_provenance,"Kanonisches Handoff-ZIP (144525 B / 09222a06) nicht uebertragen, nicht geoeffnet, Hash nicht pruefbar: die losen Inline-Kopien koennen nicht gegen die im Paket kanonisch abgelegten Versionen abgeglich",Manifest-Zeile 9 (ZIP required=yes) vs. Nicht-Inline-Status; ZIP existiert lokal nicht (find leer).,"Keine Bestaetigung, dass die inline gehaltenen Dateien den paketierten Kanon-Kopien byte-gleich sind; moegliche Divergenz zwischen loser und paketierter Wahrheit unpruefbar.",MATERIAL_OMISSION
B08_omission_of_wip,Kompletter V3-Code-Layer nicht transferiert,ls/hash-Abgleich s11_control_plane_v3_wip_freeze/wip (WIP-001..011) gegen Inline-4-Bloecke; grep der 4 Bloecke nach s11_attestation_v3/content_state_gate/valida,"Keines der 11 realen Arbeitsstand-Artefakte (3 Skripte, Testsuite, Pubkey, 6 Reports) ist im Inline-Kontext. Eine Fortsetzung erhaelt Zustands-Register OHNE den Code, dessen Zustand sie beschreiben.",MATERIAL_OMISSION
B08_omission_of_wip,V3-Council/Tribunal-Befunde des tatsaechlichen Laufs fehlen,cat reports__S11_CONTROL_PLANE_V3_COUNCIL_AND_TRIBUNAL.csv/.md; grep der Inline-Bloecke nach CV3- = 0,"Die 8 realen Bypaesse (2 CRITICAL: Pubkey-Substitution CV3-1, Broker-promotet-aktive-Branch CV3-2; plus Attestation-Transplant, Ledger-nicht-append-only, Scope-Guard-Luecken, CASE_SIG-toter-Code) und ",MATERIAL_OMISSION
B08_omission_of_wip,Finding-Register CPR-001..015 + CODE-F1..F4 fehlt vollstaendig,cat reports__S11_CONTROL_PLANE_V3_FINDING_REGISTER.csv; grep Inline nach CPR-0/CODE-F = 0,Der eigentliche Remediations-Nachweis (9 CLOSED / 8 PARTIAL / 2 CARRIED von 19 Findings) ist nicht uebertragen. Die auftraggeberseitig genannten CPR-001..015 sind im 'authoritative context' schlicht a,MATERIAL_OMISSION
B08_omission_of_wip,Divergenz OPEN-vs-CLOSED zwischen Transfer und WIP,awk-Statusspalte XMR-Register = 25/25 OPEN; Gegenueberstellung mit WIP: XMR-CP-001 (Scope-Guard vs HEAD) entspricht CODE-F3/CV3-4 = CLOSED (test c1),Der Transfer praesentiert bereits remediierte Themen als OPEN. Eine Fortsetzung wuerde geschlossene Arbeit erneut anfassen oder den wahren Restzustand falsch einschaetzen. Register und realer Arbeitss,DIVERGENCE
B08_omission_of_wip,Wahre Rest-Risiken (PARTIAL-Restpunkte) unter den Tisch gefallen,"Lese PARTIAL/CARRIED-Zeilen: CPR-003/007/008/010/011/012, CODE-F2 (Alt-Gate-Selftest/SKIP-Bypass bleibt), CV3-1 (Pubkey-Pinning operativ offen)","Genau die sicherheitsrelevanten offenen Restpunkte (Alt-Gate-Bypass, fehlender harter Produkt-Commit-Guard CPR-010, direkte Git-Plumbing-Umgehung CPR-011, Pubkey-out-of-band-Pinning) sind im Transfer ",DIVERGENCE
B08_omission_of_wip,Manifest listet die WIP-Artefakte nicht -> Omission auf Manifest-Ebene unsichtbar,cat AUTHORITATIVE_CONTEXT_MANIFEST.csv (17 Zeilen) auf attestation_v3/content_state_gate/validated_commit_v3/ed25519/trust_root pruefen = 0,Anders als die 13 'accounted-by-manifest' P0-Assets sind die 11 WIP-Artefakte nicht einmal deklariert. Ein Empfaenger kann die Luecke nicht am Manifest erkennen; der Kontext gibt sich als vollstaendig,MATERIAL_OMISSION
B08_omission_of_wip,Trust-Root/Attestierung nicht wiederherstellbar,"WIP-001 memory__attestation_v3_ed25519_pubkey.pem + s11_attestation_v3.py fehlen im Transfer; Baseline: main=5ebc7ad, 0 candidate-refs",Ohne Pubkey und Attestierungscode kann eine Fortsetzung keine V3-Attestierung verifizieren oder erzeugen; die 'ATTESTED_GREEN_PENDING'-Angabe in project_state.json ist nicht nachpruefbar. Der beschrie,MATERIAL_OMISSION
B08_omission_of_wip,Candidate-Ref-Realitaet widerspricht Handoff,CANDIDATE_STATUS.md nennt refs/candidates/s11-control-plane-v3; Repo real 0 candidate-refs; WIP ist off-git eingefroren,"Der Kandidat liegt real weder auf einer Ref noch im Transfer, sondern nur als off-git-Freeze. project_state.json (candidate commit 5ebc7ad, tree 2aa02bb) suggeriert einen greifbaren Kandidaten, den ei",CONTINUITY_BREAK
B08_omission_of_wip,"next_claude_trigger impliziert unbegonnene Remediation, die real teils erledigt ist",project_state.json/DEC-020: next_trigger = S11_CONTROL_PLANE_V3_TRUST_ROOT_AND_CROSS_MODEL_REMEDIATION; WIP CANDIDATE_STATUS: 9 CLOSED von 19,"Der Transfer weist die Remediation als naechsten (noch zu leistenden) Schritt aus, obwohl der WIP sie substantiell durchgefuehrt und reproduziert hat. Eine Fortsetzung startet auf falschem Fortschritt",DIVERGENCE
B08_omission_of_wip,Testsuite als Fortschritts-/Reproduktionsnachweis fehlt,WIP-011 tests__test_s11_control_plane_v3.py (7507 B) nicht im Transfer; Register verweist auf test b1/b2/c1/d1/d2/e2 als Schliessungsnachweis,"Die im Register zitierten deterministischen Reproduktionen (test c1, d1/d2, e2 ...) sind ohne die Testdatei nicht nachvollziehbar. Die Behauptung 'CLOSED (test ...)' ist im Transfer unbelegt; ein Kern",MATERIAL_OMISSION
B08_omission_of_wip,Trust-Root-Design-Dokument (Architektur-WIP) nicht uebertragen,"WIP-007 TRUST_ROOT_DESIGN.md fehlt; project_state.blocked_until listet 'dual independent calculation engines','manual control calculation','historical shadow mo","Die als blocked_until benannten Architektur-Bausteine haben ihren Entwurf nur im nicht-transferierten Trust-Root-Design. Eine Fortsetzung kennt die Blocker-Namen, nicht deren Design -> kann sie nicht ",MATERIAL_OMISSION
B08_omission_of_wip,"content_state_gate.py (CONTENT/STATE-Trennung, CASE_SIG) nicht transferiert",WIP-009 s11_content_state_gate.py fehlt; CPR-001/002/003/005 + CV3-6 (CASE_SIG-Falldaten) beziehen sich darauf,"Der Gate-Mechanismus, der Klartext-Falldaten (Betrag/Datum/IBAN/Firmierung) blocken soll (CV3-6) und Content- von State-Gate trennt, ist im Transfer nicht vorhanden. Eine mandatsdatensensible Kontroll",MATERIAL_OMISSION
B08_omission_of_wip,Gesamtbewertung Ausreichbarkeit fuer Fortsetzung,"Synthese: Transfer = Zustand/Entscheidungen ohne Code, Council-Befund, Finding-Register, Tests, Trust-Root; WIP-Freeze TRANSFER_QC_RESULT selbst = NOT_VERIFIED ","Der 'authoritative context' beschreibt WAS zu tun ist, liefert aber nicht den tatsaechlichen Codestand, dessen Fortschritt und dessen offene Restpunkte. Fuer eine regelkonforme, nicht-halluzinierende ",MATERIAL_OMISSION
B09_decision_enforceability,"P0-Entscheidungen ohne jede Durchsetzungslogik: grep nach DEC-0 ueber beide Repos findet die IDs ausschliesslich in DECISIONS.csv selbst. Kein Script, Hook, Gate oder Guard referenziert eine einzige P",grep -rl 'DEC-0' ueber secure-case-ledgers und rechtsprechung-db,Einziger Treffer = die CSV selbst; Durchsetzung real nicht vorhanden,MATERIAL_OMISSION
B09_decision_enforceability,"JSON-Invarianten (single_model_decision_prohibited:true, organ_decision_outside_ai:true, cross_model_dual_control_required:true) sind editierbare Literale in einer losen Datei, kein Waechter. Jeder sc",Read S11_PROJECT_STATE.json invariants-Block; Suche nach Validator-Code (keiner),Deklaration statt Enforcement; still umschaltbar,MATERIAL_OMISSION
B09_decision_enforceability,"Kein Signatur-Objekt auf den transferierten Entscheidungen/Manifest. Der inline-Ordner enthaelt 0 .sig-Dateien, obwohl signer/ed25519_private.pem und s11_control_plane_p0/attest_hmac.key existieren. D",ls s11_transfer_qc_inline (keine Signaturen); Vorhandensein der Keys geprueft,Entscheidungen unsigniert; Authentizitaet nicht durchsetzbar,CONTINUITY_BREAK
B09_decision_enforceability,"Der einzige existierende Integritaetsgate schlaegt bereits fehl: Manifest deklariert DECISIONS.csv sha256=1216a780..., real ist f9045adf... (CRLF-Divergenz, 4071 vs 4100 Bytes). Ein manueller shasum-C",shasum -a256 vs Manifest-Deklaration,Enforcement-Artefakt bereits at-rest gebrochen,CONTINUITY_BREAK
B09_decision_enforceability,AUTHORITATIVE_CONTEXT_MANIFEST.csv listet sich selbst NICHT -> seine eigenen deklarierten Hashes sind unverankert. Angreifer editiert die Manifest-Hashwerte passend zu manipulierten CSVs; nichts entde,"Read Manifest (17 Zeilen, kein Self-Entry); kein .sig auf Manifest",Vertrauenswurzel selbst uneingeschraenkt umschreibbar,CONTINUITY_BREAK
B09_decision_enforceability,"DEC-026 verlangt 'Git objects prevail', doch wpno-secure-case-ledgers ist gar kein Git-Repo (git status: not a git repository). Der Ledger, der den autoritativen Zustand haelt, hat keine Commit-Histor",git status/-rev-parse im ledger-Verzeichnis,Kein Git-Objektgraph = keine Unveraenderlichkeit fuer P0-State,DIVERGENCE
B09_decision_enforceability,"Funktionstrennung verletzt: signer/ed25519_private.pem liegt im selben Baum, den der pruefende Council-B-Agent liest. Wer die CSV editieren kann, kann sie auch (neu) signieren. Damit sind DEC-024 (kei","ls signer/ (privater Key im Klartext, owner-lesbar, im Reviewer-Zugriff)",Signer=Reviewer=Editor moeglich; Dual-Control krypto-seitig wertlos,MATERIAL_OMISSION
B09_decision_enforceability,"attest_hmac.key ist ein symmetrischer HMAC-Schluessel im selben Baum. HMAC bietet keine Nichtabstreitbarkeit: Verifizierer und Erzeuger sind identisch, es laesst sich nicht beweisen, WELCHE Partei att","ls s11_control_plane_p0/attest_hmac.key (64B symmetrisch, in-tree)",Attestierung ohne Urheberschaftsbeweis; DEC-024 nicht erzwingbar,CONTINUITY_BREAK
B09_decision_enforceability,"Alle 28 Entscheidungen tragen status_at_transfer=TO_VERIFY, keine ist VERIFIED. required_coverage verlangt EXPLICIT_IN_AUTHORITATIVE_HANDOFF, doch HANDOFF_MASTER.md und FINAL_PROMPT wurden inline NICH",Read DECISIONS.csv (Spalte status_at_transfer); Manifest zeigt 13/17 nicht inline,Enforcement-Basis selbst unverifiziert im Transfer,MATERIAL_OMISSION
B09_decision_enforceability,"DEC-019 'kein Push' ist reine Beobachtung (remote_count=0), kein Guard. Es gibt keinen pre-push-Hook, und der Ledger ist nicht einmal ein Git-Repo. Ein spaeterer Push wird durch nichts technisch verhi",Suche nach hooks/pre-push; git-Status des Ledgers,'No push' technisch nicht erzwungen,MATERIAL_OMISSION
B09_decision_enforceability,"Divergenz Zustand vs. Realitaet: real main=5ebc7ad ist exakt der Control-Plane-Candidate, den STATE.json/DEC-012 als ATTESTED_GREEN_PENDING_GATECODE_REVIEW mit quality_confirmed=false und release_deci",git rev-parse HEAD (rechtsprechung-db)=5ebc7ad vs STATE.json candidate/quality_confirmed,"Pending-Candidate = HEAD ohne Freigabe; genau die stille Verletzung, die B09 sucht",DIVERGENCE
B09_decision_enforceability,"Keine Bindung zwischen DECISIONS.csv-Zeilen und den JSON-Invarianten. Zwei unabhaengig editierbare Dateien koennen driften (z.B. JSON official_count auf 99, waehrend DEC-014 bei 27 bleibt) ohne jede K","Vergleich der doppelt gefuehrten Werte (count/release_decisions/court_ready) in CSV und JSON, keine Cross-Check-Logik gefunden",Stille Drift zwischen den beiden Enforcement-Traegern moeglich,CONTINUITY_BREAK
B09_decision_enforceability,"Council-B-Inventory ist das einzige Objekt, das das Manifest referenziert - eine Auflistung, keine Verifikation. Sie erzeugt Schein-Assurance ('accounted'), waehrend 13/17 Manifest-Assets nie byte-tec",grep Referenzen auf Manifest -> nur PROJECT_TRANSFER_COUNCIL_B_INVENTORY.csv,"Nur Listing, keine Byte-Verifikation; Fehlassurance-Risiko",DIVERGENCE
B10_temporal_drift,"Two coexisting next-step trigger namespaces with no precedence rule: state.json line 30 + DEC-020 declare next_claude_trigger=S11_CONTROL_PLANE_V3_TRUST_ROOT_AND_CROSS_MODEL_REMEDIATION, but the live ","Read state.json/DEC-020; grep -rho of trigger vocab across reports/ and memory/ (PS861_006=165, CONTROL_PLANE_V3=1).",Handoff points forward to a CONTROL_PLANE_V3 universe while the repo has already moved into the PS861_006 universe; the package declares no rule for which governs. A receiver resuming on the handoff t,DIVERGENCE
B10_temporal_drift,Declared next_claude_trigger is not a registered trigger. S11_CONTROL_PLANE_V3_TRUST_ROOT_AND_CROSS_MODEL_REMEDIATION appears in the repo ONLY as an argv fallback default in scripts/s11_validated_comm,grep -rn for the trigger string; read both registry CSVs (allowed_next_triggers = F9_R2/F9_R3/P0_G/PINPOINT... — none is CONTROL_PLANE_V3).,"Under governance rule G-01 (no run without an exact registered UPPER_SNAKE trigger), the handoff's authoritative next step names a trigger the live governance layer does not enumerate.",DIVERGENCE
B10_temporal_drift,Two bootstrap versions both required=yes with no supersession/precedence field. Manifest line 7 S11_NEW_CHAT_BOOTSTRAP.md and line 8 S11_NEW_PROJECT_BOOTSTRAP_V2.md are both required=yes.,"Read AUTHORITATIVE_CONTEXT_MANIFEST.csv; schema columns are relative_path,size,sha256,artifact_role,required — no supersedes/version/valid_from column exists.","If V2 supersedes the earlier bootstrap, marking both required=yes is self-contradictory; nothing in the manifest encodes which bootstrap governs, so a receiver could load the stale one.",CONTINUITY_BREAK
B10_temporal_drift,Bootstrap supersession is unverifiable from the inline channel: neither bootstrap was inline-transferred (both are among the 13 non-inline manifest assets).,"Baseline (13/17 not inline) cross-checked against the 4 materialized files in s11_transfer_qc_inline/ (only Register, Decisions, Manifest, State present).","No content, version header, or date of either bootstrap can be byte-checked; the 'which version wins' question cannot be answered from what was actually transferred.",MATERIAL_OMISSION
B10_temporal_drift,The two bootstraps carry divergent provenance tiers: S11_NEW_CHAT_BOOTSTRAP.md=P0_AUTHORITATIVE_HANDOFF vs S11_NEW_PROJECT_BOOTSTRAP_V2.md=TRANSFER_QC_CONTRACT.,Read artifact_role column of manifest lines 7-8.,"The same logical artifact class (session bootstrap) is split across two lifecycle tiers, so a reader cannot tell which tier's rules govern the bootstrap's validity — a version-drift trap.",CONTINUITY_BREAK
B10_temporal_drift,"The forward-trigger declarations are not hash-anchored. DEC-020/DEC-021 (the next Claude/ChatGPT triggers) live in S11_PROJECT_TRANSFER_CRITICAL_DECISIONS.csv, whose actual sha256 f9045adf... diverges","shasum -a256 of materialized CSV vs manifest; file/CRLF check (0 CR, LF-only).","The byte image carrying the authoritative next-trigger text cannot be reproduced against the declared authoritative hash, so the trigger declaration itself is not integrity-anchored.",DIVERGENCE
B10_temporal_drift,"Temporal inversion in product/candidate framing. state.json (dated 2026-07-12) calls 670e362 (committed 11:02) the 'current_product_reference' while HEAD 5ebc7ad (committed 22:21 same day, child of 67",git show dates for HEAD and 670e362; read state.json blocks 5-15.,"A newer committed HEAD is recorded as a mere pending candidate beneath its own parent; the snapshot lags the real HEAD, so a receiver treating 670e362 as 'current product' is one commit stale.",CONTINUITY_BREAK
B10_temporal_drift,"Attestation drift: state.json line 13 + DEC-012 assert 5ebc7ad = ATTESTED_GREEN_PENDING_GATECODE_REVIEW, but the real repo has 0 candidate-refs and no V3 attestation.","git for-each-ref | grep cand (empty); baseline (no V3 attestation, V3-WIP frozen 11/11) cross-checked.",The recorded attestation status runs ahead of the repository's actual state; the handoff overstates how far the candidate has progressed.,DIVERGENCE
B10_temporal_drift,The authoritative forward state exists only off-git with no reconciliation pointer. S11_PROJECT_STATE.json is not present anywhere in the repo tree.,find . -name 'S11_PROJECT_STATE*' in repo (no hits); file exists only in ~/wpno-secure-case-ledgers/s11_transfer_qc_inline/.,"The forward-looking authoritative state and the repo's own governance registry are two unlinked sources; the repo's gates cannot detect drift against a state file they cannot see, so version conflict ",MATERIAL_OMISSION
B10_temporal_drift,"The very asset meant to resolve version drift was not inline-transferred. Manifest line 18 pins S11_CONTROL_PLANE_V3_AUTHORITATIVE_CONTEXT_RECONCILIATION_AND_CONTROLLED_RESUME_PROMPT.md (16883 bytes, ",Read manifest line 18; cross-check against the 4 materialized files.,"The reconciliation/controlled-resume prompt that would adjudicate which version governs is itself absent from the inline channel, so drift cannot be resolved from what was transferred.",MATERIAL_OMISSION
B10_temporal_drift,"Plan-layer vs execution-layer temporal gap. DEC-025 foresees four future clean-room repos (s11-core, s11-automation, s11-evals, s11-presentations); none exist and active PS861_006 work continues in th","Read DEC-025; git log/ls of repo (single monorepo, no split).",The decisions register describes a future repository topology that the execution layer has not begun; a receiver could mistake the planned structure for the current one.,MINOR
B10_temporal_drift,"Three-way next-step divergence across time layers: persistent memory (S11_PS861_002, dated 07.07, commit 0b037fd) vs repo HEAD workstream (S11_PS861_006, 07.12) vs off-git handoff (S11_CONTROL_PLANE_V",CLAUDE.md memory context (PS861_002) vs grep of reports (PS861_006 dominant) vs state.json (CONTROL_PLANE_V3).,"At least three distinct 'next trigger' signals coexist across three time layers; DEC-026 rightly deprecates memory, but no artifact reconciles PS861_006 against the handoff's CONTROL_PLANE_V3.",MINOR
B11_hidden_assumption,"Annahme: das 17-zeilige Manifest ist selbst authentisch und vollstaendig - obwohl es sich selbst NICHT auflistet, keinen Self-Hash traegt und unsigniert ist. Die gesamte Verifikationskette haengt an e","Manifest gelesen (17 Zeilen), Selbstreferenz gesucht: AUTHORITATIVE_CONTEXT_MANIFEST.csv kommt in keiner Zeile vor; kein signature/self-hash-Feld vorhanden.",Trust-Root ist ungesichert; alle abgeleiteten Hash-Behauptungen erben diese Unbelegtheit.,MATERIAL_OMISSION
B11_hidden_assumption,"Annahme: die 13 nicht inline uebertragenen Assets (HANDOFF_MASTER.md, EVIDENCE_INDEX.md, V3_PROMPT, BOOTSTRAP, 144KB-ZIP, 10 QC-Contract-Assets) EXISTIEREN ueberhaupt. Claude sieht 0 Bytes davon; Exis",Verzeichnis gelistet: nur 4 CSV/JSON + Manifest materialisiert; 13 Manifest-Pfade physisch abwesend.,13/17 required-Assets sind reine Manifest-Behauptungen ohne Byte-Beleg.,MATERIAL_OMISSION
B11_hidden_assumption,Annahme: die deklarierten SHA256 der 13 fehlenden Assets sind ECHT und gehoeren zu real existierenden Byte-Sequenzen - obwohl an der einzigen inline pruefbaren CSV-Stelle der deklarierte Hash NICHT zu,python-Rekonstruktion: LF-Datei (5271/4071 B) -> CRLF (5297/4100 B) reproduziert EXAKT die Manifest-Hashes 00066473.../1216a780...; die tatsaechlich vorliegende,Die einzige pruefbare Hash-Probe schlaegt fehl; Vertrauen in die 13 unpruefbaren Hashes ist dadurch unbegruendet.,DIVERGENCE
B11_hidden_assumption,"Annahme: die kanonische Artefaktform ist CRLF (damit der Manifest-Hash 'stimmt'), nicht die inline gelieferte LF-Form. Diese Zeilenende-Kanonisierung ist nirgends deklariert und wird stillschweigend v",CR-Zaehlung: beide CSV CR-lines=0 (reines LF); Hash-Match nur nach kuenstlicher CRLF-Konversion.,"'Verified' erfordert den Glauben, dass eine nie uebertragene Byte-Normalform die massgebliche ist.",DIVERGENCE
B11_hidden_assumption,"Annahme: der ChatGPT/Upstream-Container-Inhalt = das im Manifest Deklarierte. Es gibt keine unabhaengige Attestierung der Quell-Container; Provenienz wird geglaubt, nicht belegt.",Keine Signatur/kein Herkunftsnachweis in Manifest oder JSON; Provenienz nur narrativ.,Quellwahrheit des Transfers ist ununterlegt - klassischer 'garbage-in'-Blindspot.,MATERIAL_OMISSION
B11_hidden_assumption,"Annahme: die JSON-'current_control_plane_candidate' (5ebc7ad, attestation=ATTESTED_GREEN_PENDING_GATECODE_REVIEW) entspricht der Repo-Realitaet. Real ist 5ebc7ad schlicht HEAD/main, es existiert KEIN ","git: HEAD-Commit hat tree 2aa02bba + parent 670e362 (deckt sich mit JSON), aber `git branch -a` = nur main, 0 candidate-refs; Attestierungsstring hat kein Backi",Die candidate/attested-Semantik ist eine JSON-Behauptung ohne Repo-Entsprechung; Continuity-Bruch zwischen deklariertem und realem Zustand.,CONTINUITY_BREAK
B11_hidden_assumption,"Annahme: 25 Findings (XMR-CP-001..025) und 28 Decisions (DEC-001..028) sind VOLLSTAENDIG, nicht '25 von N' abgeschnitten. Kein deklariertes Soll-Count-Feld cross-checkt die Zeilenzahl.","Manifest liefert nur size_bytes, kein expected_row_count; JSON invariants nennt official_count=27, nicht 25/28.",Vollstaendigkeit der beiden Kernregister wird geglaubt; eine stille Truncation waere unentdeckbar.,MATERIAL_OMISSION
B11_hidden_assumption,"Annahme: 'accounted-by-manifest' erfuellt required=yes. Alle 17 Zeilen tragen required=yes, doch 13 required-Assets fehlen physisch - der Verdikt-Rahmen wuerde Manifest-Buchhaltung als Erfuellung der ",required-Spalte gelesen: 17/17 = yes; abgeglichen mit 4/17 physisch present.,Definition von 'verified' setzt stillschweigend Manifest-Nennung mit Byte-Nachweis gleich - genau der zu pruefende Fehlschluss.,MATERIAL_OMISSION
B11_hidden_assumption,"Annahme: die JSON-Behauptung product_reference 670e362 = NOT_ACCEPTED_L99_BLOCKED ist real durch einen L99-Block gestuetzt. Repo zeigt 670e362 nur als Elterncommit, ohne Block-/Status-Objekt.","git cat-file: 670e362 existiert als commit, ist parent von HEAD; kein L99-Statusartefakt auffindbar.",Der Blocked-Status ist ein unbelegtes Label; Claude muesste ihn glauben.,MINOR
