finding_no,role_id,material,finding,evidence
B-089,B11_hidden_assumption,MATERIAL_OMISSION,"Annahme: das 17-zeilige Manifest ist selbst authentisch und vollstaendig - obwohl es sich selbst NICHT auflistet, keinen Self-Hash traegt und unsigniert ist. Die gesamte Verifikationskette haengt an einem Wurzeldokument,",Trust-Root ist ungesichert; alle abgeleiteten Hash-Behauptungen erben diese Unbelegtheit.
B-090,B11_hidden_assumption,MATERIAL_OMISSION,"Annahme: die 13 nicht inline uebertragenen Assets (HANDOFF_MASTER.md, EVIDENCE_INDEX.md, V3_PROMPT, BOOTSTRAP, 144KB-ZIP, 10 QC-Contract-Assets) EXISTIEREN ueberhaupt. Claude sieht 0 Bytes davon; Existenz wird nur behaup",13/17 required-Assets sind reine Manifest-Behauptungen ohne Byte-Beleg.
B-091,B11_hidden_assumption,DIVERGENCE,Annahme: die deklarierten SHA256 der 13 fehlenden Assets sind ECHT und gehoeren zu real existierenden Byte-Sequenzen - obwohl an der einzigen inline pruefbaren CSV-Stelle der deklarierte Hash NICHT zu den gelieferten Byt,Die einzige pruefbare Hash-Probe schlaegt fehl; Vertrauen in die 13 unpruefbaren Hashes ist dadurch unbegruendet.
B-092,B11_hidden_assumption,DIVERGENCE,"Annahme: die kanonische Artefaktform ist CRLF (damit der Manifest-Hash 'stimmt'), nicht die inline gelieferte LF-Form. Diese Zeilenende-Kanonisierung ist nirgends deklariert und wird stillschweigend vorausgesetzt.","'Verified' erfordert den Glauben, dass eine nie uebertragene Byte-Normalform die massgebliche ist."
B-093,B11_hidden_assumption,MATERIAL_OMISSION,"Annahme: der ChatGPT/Upstream-Container-Inhalt = das im Manifest Deklarierte. Es gibt keine unabhaengige Attestierung der Quell-Container; Provenienz wird geglaubt, nicht belegt.",Quellwahrheit des Transfers ist ununterlegt - klassischer 'garbage-in'-Blindspot.
B-094,B11_hidden_assumption,CONTINUITY_BREAK,"Annahme: die JSON-'current_control_plane_candidate' (5ebc7ad, attestation=ATTESTED_GREEN_PENDING_GATECODE_REVIEW) entspricht der Repo-Realitaet. Real ist 5ebc7ad schlicht HEAD/main, es existiert KEIN separater candidate-",Die candidate/attested-Semantik ist eine JSON-Behauptung ohne Repo-Entsprechung; Continuity-Bruch zwischen deklariertem und realem Zustand.
B-095,B11_hidden_assumption,MATERIAL_OMISSION,"Annahme: 25 Findings (XMR-CP-001..025) und 28 Decisions (DEC-001..028) sind VOLLSTAENDIG, nicht '25 von N' abgeschnitten. Kein deklariertes Soll-Count-Feld cross-checkt die Zeilenzahl.",Vollstaendigkeit der beiden Kernregister wird geglaubt; eine stille Truncation waere unentdeckbar.
B-096,B11_hidden_assumption,MATERIAL_OMISSION,"Annahme: 'accounted-by-manifest' erfuellt required=yes. Alle 17 Zeilen tragen required=yes, doch 13 required-Assets fehlen physisch - der Verdikt-Rahmen wuerde Manifest-Buchhaltung als Erfuellung der Pflichtmarkierung be",Definition von 'verified' setzt stillschweigend Manifest-Nennung mit Byte-Nachweis gleich - genau der zu pruefende Fehlschluss.
B-097,B11_hidden_assumption,DIVERGENCE,"Annahme: keine Manipulation zwischen Hash-Deklaration und Lesezeitpunkt. Da die 2 CSV ihren deklarierten Hash bereits byte-technisch verfehlen, ist 'unveraendert seit Deklaration' fuer diese Dateien schon jetzt objektiv ",Der Unveraenderlichkeits-Glaube ist an genau den checkbaren Objekten widerlegt.
B-098,B11_hidden_assumption,MATERIAL_OMISSION,"Annahme: das ausgelieferte Manifest ist out-of-band vertrauenswuerdig, obwohl es das 5. tatsaechlich gelieferte File ist und sich selbst aus der Integritaetspruefung ausnimmt. Der Verifizierer prueft mit einem Dokument, ",Zirkulaerer Trust: das Pruefinstrument ist selbst ungeprueft.
B-099,B10_temporal_drift,DIVERGENCE,"Two coexisting next-step trigger namespaces with no precedence rule: state.json line 30 + DEC-020 declare next_claude_trigger=S11_CONTROL_PLANE_V3_TRUST_ROOT_AND_CROSS_MODEL_REMEDIATION, but the live repo's dominant acti",Handoff points forward to a CONTROL_PLANE_V3 universe while the repo has already moved into the PS861_006 universe; the package declares no rule for which governs. A receiver resuming on the handoff t
B-100,B10_temporal_drift,DIVERGENCE,"Declared next_claude_trigger is not a registered trigger. S11_CONTROL_PLANE_V3_TRUST_ROOT_AND_CROSS_MODEL_REMEDIATION appears in the repo ONLY as an argv fallback default in scripts/s11_validated_commit_v3.py:113, and is","Under governance rule G-01 (no run without an exact registered UPPER_SNAKE trigger), the handoff's authoritative next step names a trigger the live governance layer does not enumerate."
B-101,B10_temporal_drift,CONTINUITY_BREAK,Two bootstrap versions both required=yes with no supersession/precedence field. Manifest line 7 S11_NEW_CHAT_BOOTSTRAP.md and line 8 S11_NEW_PROJECT_BOOTSTRAP_V2.md are both required=yes.,"If V2 supersedes the earlier bootstrap, marking both required=yes is self-contradictory; nothing in the manifest encodes which bootstrap governs, so a receiver could load the stale one."
B-102,B10_temporal_drift,MATERIAL_OMISSION,Bootstrap supersession is unverifiable from the inline channel: neither bootstrap was inline-transferred (both are among the 13 non-inline manifest assets).,"No content, version header, or date of either bootstrap can be byte-checked; the 'which version wins' question cannot be answered from what was actually transferred."
B-103,B10_temporal_drift,CONTINUITY_BREAK,The two bootstraps carry divergent provenance tiers: S11_NEW_CHAT_BOOTSTRAP.md=P0_AUTHORITATIVE_HANDOFF vs S11_NEW_PROJECT_BOOTSTRAP_V2.md=TRANSFER_QC_CONTRACT.,"The same logical artifact class (session bootstrap) is split across two lifecycle tiers, so a reader cannot tell which tier's rules govern the bootstrap's validity — a version-drift trap."
B-104,B10_temporal_drift,DIVERGENCE,"The forward-trigger declarations are not hash-anchored. DEC-020/DEC-021 (the next Claude/ChatGPT triggers) live in S11_PROJECT_TRANSFER_CRITICAL_DECISIONS.csv, whose actual sha256 f9045adf... diverges from the manifest-d","The byte image carrying the authoritative next-trigger text cannot be reproduced against the declared authoritative hash, so the trigger declaration itself is not integrity-anchored."
B-105,B10_temporal_drift,CONTINUITY_BREAK,"Temporal inversion in product/candidate framing. state.json (dated 2026-07-12) calls 670e362 (committed 11:02) the 'current_product_reference' while HEAD 5ebc7ad (committed 22:21 same day, child of 670e362) is labeled on","A newer committed HEAD is recorded as a mere pending candidate beneath its own parent; the snapshot lags the real HEAD, so a receiver treating 670e362 as 'current product' is one commit stale."
B-106,B10_temporal_drift,DIVERGENCE,"Attestation drift: state.json line 13 + DEC-012 assert 5ebc7ad = ATTESTED_GREEN_PENDING_GATECODE_REVIEW, but the real repo has 0 candidate-refs and no V3 attestation.",The recorded attestation status runs ahead of the repository's actual state; the handoff overstates how far the candidate has progressed.
B-107,B10_temporal_drift,MATERIAL_OMISSION,The authoritative forward state exists only off-git with no reconciliation pointer. S11_PROJECT_STATE.json is not present anywhere in the repo tree.,"The forward-looking authoritative state and the repo's own governance registry are two unlinked sources; the repo's gates cannot detect drift against a state file they cannot see, so version conflict "
B-108,B10_temporal_drift,MATERIAL_OMISSION,"The very asset meant to resolve version drift was not inline-transferred. Manifest line 18 pins S11_CONTROL_PLANE_V3_AUTHORITATIVE_CONTEXT_RECONCILIATION_AND_CONTROLLED_RESUME_PROMPT.md (16883 bytes, required=yes) but it","The reconciliation/controlled-resume prompt that would adjudicate which version governs is itself absent from the inline channel, so drift cannot be resolved from what was transferred."
B-109,B12_adversarial_completeness,DIVERGENCE,CRLF-laundering of semantic content in the two CSVs,"I proved LF->CRLF DOES reproduce the declared hash for the current (faithful) files, so the correct check exists but is not performed. As specified, the QC cannot distinguish EOL normalization from se"
B-110,B12_adversarial_completeness,MATERIAL_OMISSION,13 of 17 manifest assets are 'accounted-by-manifest' but never byte-transferred or byte-verified,The single most load-bearing artifacts (the prompt that will drive the next Claude and the human handoff) pass transfer purely on a self-declared manifest line. Zero byte assurance.
B-111,B12_adversarial_completeness,DIVERGENCE,Manifest is an unsigned root of trust with no self-entry,Confirmed: grep self-entry = 0; actual sha 20a4c526 is referenced by nothing. The entire content-addressing scheme rests on an object whose own integrity is unverifiable.
B-112,B12_adversarial_completeness,MATERIAL_OMISSION,Row-count-only integrity lets an ID be dropped under constant count,Count and 'no duplicate' both still pass; the removal of a CRITICAL trust-root finding is invisible. QC has no canonical ID manifest to diff against.
B-113,B12_adversarial_completeness,DIVERGENCE,Hash-valid JSON carrying a false state claim,"Confirmed via git for-each-ref (0 candidate refs). A hash-valid, internally self-consistent state file misrepresents attestation status and passes QC because QC never cross-checks JSON assertions agai"
B-114,B12_adversarial_completeness,DIVERGENCE,Self-referential invariant with no ground-truth anchor (official_count=27),"27 is frozen with no external anchor (and stands unreconciled against the 36-item S11 canonical corpus). QC certifies consistency, not correctness."
B-115,B12_adversarial_completeness,MATERIAL_OMISSION,Poisoned decision smuggled into an all-TO_VERIFY register,"A guard-weakening decision rides through undetected because QC treats decisions as opaque countable rows, not as claims requiring trace-to-authoritative-handoff."
B-116,B12_adversarial_completeness,MATERIAL_OMISSION,XMR status inflation not evidence-checked,Control plane looks shippable with the same 25 IDs present. QC never validates the status field against remediation evidence.
B-117,B12_adversarial_completeness,MATERIAL_OMISSION,Two required ZIPs are never opened; zip-vs-loose divergence poisons the next bootstrap,QC cannot detect that the archive that actually seeds the successor project contains different bytes than the per-file declared hashes. No zip-manifest reconciliation is performed.
B-118,B12_adversarial_completeness,DIVERGENCE,Homoglyph / zero-width / BOM tamper hidden behind the 'expected CRLF' waiver,Semantic/visual tampering is indistinguishable from line-ending normalization under a byte-delta-only heuristic. Downstream string matching (e.g. severity filters) can be silently defeated.
B-119,B12_adversarial_completeness,CONTINUITY_BREAK,The reviewer's own mandate is outside the byte-verified set (meta-omission),The control that is supposed to validate the transfer cannot prove it received its authentic mandate; the verifier is unverifiable against authoritative bytes.
B-120,B12_adversarial_completeness,MATERIAL_OMISSION,No freshness / HEAD-binding enables stale-manifest replay,A rollback/replay to a more favorable prior state passes QC. There is no monotonic anchor to reject stale but well-formed transfer packages.
B-121,B12_adversarial_completeness,DIVERGENCE,Heterogeneous EOL pipeline leaves canonical bytes undefined for the 13 unseen assets,"Confirmed empirically (CRLF csv hashes vs LF json hash). The non-reproducibility root cause generalizes: an attacker exploits the ambiguity to claim any reproduction 'differs only by EOL,' defeating b"
B-122,B07_provenance,MATERIAL_OMISSION,"Wurzeldokument ist nicht selbst-attestiert: AUTHORITATIVE_CONTEXT_MANIFEST.csv listet 17 Assets, aber nicht sich selbst; kein Selbst-Hash, keine Gegen-Attestierung. Der Anker aller 17 Hashes haengt an einem unverankerten",Trust-Root hat keine Wurzel: die Authoritaet der gesamten Hash-Tabelle reduziert sich auf 'wurde inline eingefuegt'.
B-123,B07_provenance,DIVERGENCE,"Deklarierte SHA256 der beiden CSV nicht aus dem Inline-Kanal reproduzierbar: Manifest hasht CRLF-Originale, inline vorliegende Dateien sind reines LF.","Der byte-Referenzwert der Vertrauenswurzel passt nicht auf das, was Claude tatsaechlich haelt; Herkunftsnachweis bricht an der Kanalgrenze (verlustbehaftete Zeilenend-Transformation)."
B-124,B07_provenance,DIVERGENCE,"Inkonsistente Normalisierung innerhalb derselben Vertrauenswurzel: JSON wurde als LF gehasht (matcht), die CSV als CRLF (matchen nicht). Der 'JSON-Treffer' ist damit kein Pipeline-Beweis, sondern Zufall gleicher Zeilenen",Hashing-Verfahren der Wurzel ist nicht deterministisch/undokumentiert; selbst der einzige Match ist nicht verlaesslich als Provenienzbeleg wertbar.
B-125,B07_provenance,MATERIAL_OMISSION,Byte-exakte Originale existieren nirgends lokal: erschoepfende Hash-Suche ueber den gesamten Ledger-Baum reproduziert keinen der deklarierten Hashes.,"Die autoritative Byte-Quelle lebt ausschliesslich im ChatGPT-Container; lokal unauffindbar, unauditierbar, nicht wiederherstellbar."
B-126,B07_provenance,MATERIAL_OMISSION,"13/17 Manifest-Assets weder inline noch namentlich auf Platte: Claude hat weder Inhalt noch Existenzbeweis, nur die Manifest-Behauptung.",Ueber diese Assets ist keine Aussage moeglich ausser 'laut Manifest existent mit deklariertem Hash'; kein unabhaengiger Existenz- oder Byte-Nachweis.
B-127,B07_provenance,MATERIAL_OMISSION,"Ledger-Verzeichnis ist nicht versioniert: ~/wpno-secure-case-ledgers ist kein git-Repo, die Transferdateien sind untracked.","Keine manipulationssichere Historie, keine Provenienz-Kette, kein signierter Commit bindet die Dateien; jederzeit unbemerkt ueberschreibbar."
B-128,B07_provenance,CONTINUITY_BREAK,Keine kryptographische Signatur/Sidecar: weder .sig/.asc/GPG noch Checksum-Datei noch Autorenschaft an den 4 Dateien oder dem Manifest.,Authentizitaet ruht allein auf 'inline eingefuegt' = unauthentifiziert; keine Nichtabstreitbarkeit.
B-129,B07_provenance,DIVERGENCE,"Trust-Root ist vom Produkt-Repo entkoppelt: keine der 4 Dateien in wpno-rechtsprechung-db getrackt, kein Cross-Anchor zum Code-Baseline main=5ebc7ad.",Autoritativer Kontext und Produktbaseline sind disjunkt; keine gegenseitige Verankerung -> Provenienz kann nicht ueber den Repo-Zustand quergeprueft werden.
B-130,B07_provenance,DIVERGENCE,"JSON-Match hat schwache Semantik + Statuswiderspruch: eine State-Datei kann ihren eigenen Hash nicht enthalten; der Match belegt nur Manifest≙Inline-JSON in einem Zeitpunkt, nicht Realitaetstreue. Die JSON behauptet Cand","Der autoritative Kontext behauptet einen Provenienz-/Attestierungsstatus, den das reale Repo nicht bestaetigt."
B-131,B07_provenance,DIVERGENCE,Auch die Groessen-Spalte des Manifests ist CRLF-basiert (5297/4100) und weicht von den Inline-Bytes ab (5271/4071).,Selbst die menschenlesbare Sichtpruefung 'Groesse stimmt' fuehrt in die Irre wie der Hash; kein manueller Fallback-Nachweis moeglich.
B-132,B07_provenance,MATERIAL_OMISSION,"Kanonisches Handoff-ZIP (144525 B / 09222a06) nicht uebertragen, nicht geoeffnet, Hash nicht pruefbar: die losen Inline-Kopien koennen nicht gegen die im Paket kanonisch abgelegten Versionen abgeglichen werden.","Keine Bestaetigung, dass die inline gehaltenen Dateien den paketierten Kanon-Kopien byte-gleich sind; moegliche Divergenz zwischen loser und paketierter Wahrheit unpruefbar."
