role_id,attack_class,independent_oracle,expected,actual,bypass_successful,severity,affected_component,l99_effect
B7,polyglot-trailing-container-zip-ooxml-pdf-gzip,"Eigener Container-Detektor (KEIN Produkt-Code): zipfile.is_zipfile(path) fuer ZIP/OOXML (EOCD-basiert, findet Archiv unabhaengig vom Offset), b'%PDF' in ersten ",Guards blocken ein in eine Text-Endung getarntes Office-/Render-/Binaer-Container-Artefakt (genau die vom 006D-Ticket ve,content_type_violation prueft Magic nur via head.startswith nach Whitespace/BOM-Strip; bei CSV/Text-Praefix liegen die Magic-Bytes nicht bei Offset 0 -> nicht e,ja,HIGH,zitate_register/_s11_006d_spec_validator.py:content_type_violation (MAGIC head.startswith); check_006d_content_type_and_magic.py; check_006d_no_binary_or_render_output.py,NONE
B7,rtf-render-document-extension-and-magic-gap,Eigener Check: data.lstrip()[:5]=='{\\rtf' erkennt ein Word-oeffenbares RTF-Render-Dokument. Fixture smuggled.rtf. Gegenprobe: '.rtf' in V.FORBIDDEN_OUTPUT_EXT ,Ein RTF-Textverarbeitungs-/Render-Dokument in der 006D-Ausgabeflaeche wird als verbotenes Office-/Render-Format geblockt,'.rtf' fehlt in FORBIDDEN_OUTPUT_EXT UND '{\rtf' fehlt in der MAGIC-Tabelle. smuggled.rtf (Magic sogar bei Offset 0) passiert content_type_violation (None) und ,ja,HIGH,zitate_register/_s11_006d_spec_validator.py:FORBIDDEN_OUTPUT_EXT + MAGIC; check_006d_no_binary_or_render_output.py; check_006d_allowed_output_manifest.py,NONE
B7,html-svg-render-fragment-regex-incomplete,Breitere eigene Regex <(script|iframe|canvas|table|img|object|embed|svg|video|audio|form)[\s/>] gegen den UTF-8-Text. Fixture TAX_LIABILITIES_VISUALIZATION_REGI,"check_006d_no_embedded_payload (der Guard, der genau eingebettetes SVG-/HTML-Render-Markup verbieten soll) blockt render",Die Produkt-Regex prueft nur <svg[\s>]|<!DOCTYPE html|<html[\s>]|<?xml|<x?html und uebersieht table/canvas/script/iframe/img/object/embed/video/audio/form. Kein,ja,MEDIUM,zitate_register/_s11_006d_spec_validator.py:content_type_violation (SVG/HTML-Regex Zeile ~163); check_006d_no_embedded_payload.py,NONE
B7,denylist-not-closed-allowlist-neutral-binary,"Beobachtung des Kontrollflusses + Code-Lesung: FORBIDDEN_OUTPUT_EXT ist eine Endungs-Denylist (kein .zip/.gz/.bin/.dat/.7z/.rar/.bz2/.xz), MAGIC eine Signatur-D",Positiv-/Closed-Modell (laut Docstring 'keine neue Datei ausserhalb der erlaubten Output-Klassen') laesst nur die kanoni,Kein Guard erzwingt eine geschlossene Namens-/Typ-Allowlist fuer reports/. Eine .dat/.zip/.bin-Datei mit nicht in MAGIC gelisteter oder offset-verschobener Sign,ja,MEDIUM,zitate_register/_s11_006d_spec_validator.py:FORBIDDEN_OUTPUT_EXT/MAGIC; check_006d_allowed_output_manifest.py (Abschnitt 2/3),NONE
B8,decision-class-downgrade (fail-closed default subvertiert),"Eigene Oracle-Regel INV-MAP-1 (eigener csv.DictReader, kein Produkt-Validator): valuation_field in der Menge der Rechtswertungsfelder (organhaftung_risiko/publi",Zeile valuation_field=organhaftung_risiko mit cell_decision_class='KI_VORARBEIT (Faktum) + Wertung Berufstraeger' muss a,"Wert steht im FROZEN_SET von cell_decision_class -> validate_cell passt; check_006d_decision_class_single_truth prueft nur non-empty, nicht das Mapping. Alle 45",ja,HIGH,S11_TAX_SV_VALUATION_FIELD_DECISION_CLASS_MAP; _s11_006d_spec_validator.validate_cell (FROZEN_SET isoliert); check_006d_decision_class_single_truth (nur Praesenz-/non-empty-Check),NONE
B8,cross-field: AG-only-Beitragsart + fabrizierte §266a-AN-Anteil-Strafbarkeit,"INV-SV-2: beitragsart_typ in {ABGABE,AG_BEITRAG,AG_ONLY_UMLAGE} (kein AN-Anteil) darf 266a_reviewfrage NICHT auf eine AN-Anteil-Strafbarkeit (§266a StGB AN-Ante","SVV-07 (Umlage U1, AG_ONLY_UMLAGE) mit 266a_reviewfrage='BERUFSTRAEGER_REVIEWFRAGE (§266a StGB AN-Anteil)' muss blocken ",Beide Werte einzeln im FROZEN_SET; keine Kombinationspruefung beitragsart_typ<->266a_reviewfrage. Alle Guards gruen.,ja,HIGH,"S11_SV_CONTRIBUTION_VISUALIZATION_REGISTER (Felder beitragsart_typ, 266a_reviewfrage, employee_share); kein Guard mit Kombinationslogik",NONE
B8,cross-field: ABGABE-Beitragsart + fabrizierter AN-Pflichtanteil,"INV-SV-1: beitragsart_typ=ABGABE (Minijob-Pauschalabgabe, kein AN-Anteil) + employee_share='PFLICHT_GETRENNT (AN-Anteil)' ist widerspruechlich; erlaubt waere nu",SVV-06 muss blocken (erfindet AN-Pflichtanteil bei reiner Arbeitgeberabgabe).,employee_share-FROZEN_SET enthaelt BEIDE Werte (NICHT_ANWENDBAR... und PFLICHT_GETRENNT); validate_cell isoliert -> ok. Kein Guard prueft beitragsart_typ<->empl,ja,HIGH,"S11_SV_CONTRIBUTION_VISUALIZATION_REGISTER (beitragsart_typ, employee_share)",NONE
B8,cross-field: PARITAETISCH-Beitrag versteckt AN-Anteil (Gegenrichtung),INV-SV-4: beitragsart_typ=PARITAETISCH (haelftiger AN-/AG-Anteil) darf employee_share NICHT auf NICHT_ANWENDBAR setzen (versteckt AN-Anteil und damit §266a-Rele,"SVV-01 (Gesamtsozialversicherung, PARITAETISCH) mit employee_share='NICHT_ANWENDBAR (kein AN-Anteil bei ABGABE)' muss bl",Wert im FROZEN_SET; keine Kombinationspruefung. Alle Guards gruen.,ja,HIGH,"S11_SV_CONTRIBUTION_VISUALIZATION_REGISTER (beitragsart_typ, employee_share)",NONE
B8,cross-field: Steuerart in inkompatibler Aggregat-Partition (Scope-/Doppelzaehlung),INV-TAX-1: additive_partition_id=SALDO_GESAMT_FA ist per Schema-Text 'FA-Scope ohne GewSt/Zoll'. Eine Zeile mit steuerart='Gewerbesteuer (Kommunalkasse)' (oder ,TXV-04 (Gewerbesteuer) mit additive_partition_id=SALDO_GESAMT_FA muss blocken (GewSt in FA-Aggregat -> falscher Scope/Do,"check_006d_amount_axis_and_partition_integrity prueft nur, dass Aggregat- und Komponenten-Partition-IDs nicht identisch sind, nicht steuerart<->partition-Scope.",ja,MEDIUM,"TAX_LIABILITIES_VISUALIZATION_REGISTER (steuerart, additive_partition_id); check_006d_amount_axis_and_partition_integrity",NONE
B8,cross-field: Einzel-Steuerart mit Aggregat-Betragsachsenrolle in stapelbarer Partition,INV-TAX-2/3: betragsachsen_rolle=SALDO_AGGREGAT darf nur in der Aggregat-Partition (SALDO_GESAMT_FA) stehen; eine Einzel-Steuerart-Zeile (additive_partition_id=,"TXV-01 (Umsatzsteuer, Komponenten-Partition) mit betragsachsen_rolle='SALDO_AGGREGAT' muss blocken.","amount_axis-Guard blockt nur regex 'ALLES_ADDITIV'/'alle Rollen stapelbar', nicht die Kombination Rolle<->Partition. Wert im FROZEN_SET. Alle Guards gruen.",ja,MEDIUM,"TAX_LIABILITIES_VISUALIZATION_REGISTER (betragsachsen_rolle, additive_partition_id); check_006d_amount_axis_and_partition_integrity",NONE
B8,cross-field: sv_klasse <-> einzugsstelle Fehlzuordnung,"INV-SV-5: Domain-Mapping (KSK-Abgabe->KSK, Minijob->MINIJOB_ZENTRALE, BG-Beitrag->BERUFSGENOSSENSCHAFT, DRV-Nachforderung->DRV). Abweichung ist widerspruechlich",SVV-11 (KSK-Abgabe) mit einzugsstelle=DRV muss blocken (falsche Einzugsstelle/Glaeubigerzuordnung).,Beide Werte in ihren FROZEN_SETs; kein Guard prueft sv_klasse<->einzugsstelle. Alle Guards gruen.,ja,MEDIUM,"S11_SV_CONTRIBUTION_VISUALIZATION_REGISTER (sv_klasse, einzugsstelle)",NONE
B8,cross-field: valuation_field <-> rechtsgrund Rechtsgrund-Mismatch,"INV-MAP-2: Domain-Mapping valuation_field->rechtsgrund (266a_reviewfrage->§266a StGB, organhaftung->§69/§34 AO, druckzahlung_131->§131 InsO, 15b->§15b InsO, 283",Zeile valuation_field=266a_reviewfrage mit rechtsgrund='§14 InsO' muss blocken (falsche Rechtsgrundlage einer strafrecht,rechtsgrund-FROZEN_SET enthaelt §14 InsO (fuer andere Felder); validate_cell isoliert -> ok; kein Guard prueft valuation_field<->rechtsgrund. Alle Guards gruen.,ja,MEDIUM,"S11_TAX_SV_VALUATION_FIELD_DECISION_CLASS_MAP (valuation_field, rechtsgrund)",NONE
B9,Klassenmismatch / View mit eigener Statuswahrheit (intra-row REF-Klasseninkonsistenz),"Eigener CSV-Parser laedt PC-Universe + PUBLIC_CREDITOR_AND_PETITION_RISK_MASTER, extrahiert die PC-ID aus master_class_ref und vergleicht map_public_creditor_ty",Referenzintegritaets-Guard blockt: View-Zeile Finanzamt darf nicht die Master-Klasse Krankenkasse referenzieren (Docstri,Beide Felder sind je fuer sich gueltige FROZEN_SET-Werte -> closed_spec_schema passt; crosswalk-Guard prueft nur Substring 'PUBLIC_CREDITOR_AND_PETITION_RISK_MA,ja,HIGH,"zitate_register/check_006d_view_crosswalk_referential_integrity.py (Z.32-39, Substring statt Ziel-/Klassenaufloesung); dupliziert in check_tax_sv_view_bound_to_liability_universe.py:47",NONE
B9,Klassenmismatch (frozen typ <-> frozen glaeubiger-Label kreuzinkonsistent),"Eigener Parser prueft je PC-Zeile die Paarung (glaeubiger_typ, glaeubiger-Label) gegen eine unabhaengig gebaute Typ->Label-Erwartungstabelle; meldet Mismatch, w",Guard erkennt widerspruechliche Typ/Label-Paarung in derselben Zeile,glaeubiger_typ und glaeubiger sind zwei getrennte FROZEN_SET-Spalten; jeder Wert einzeln erlaubt. Kein Guard prueft die Paarung. MUST-Typ-Praesenz-Check (check_,ja,MEDIUM,zitate_register/check_006d_public_creditor_not_hidden_or_unverified_ranked.py + check_006d_view_crosswalk_referential_integrity.py (keine Feldpaar-Konsistenzpruefung),NONE
B9,"Doppelte additive Partition (Einzelposten als Aggregat getarnt, Keyword-Klassifikation umgangen)","Eigener Parser gruppiert TAX-Zeilen nach additive_partition_id und flaggt jede Zeile, deren Betragsachsen-Rolle Einzelposten ist, aber die AGGREGAT/SALDO_GESAMT","amount_axis-Guard verhindert, dass ein Einzelposten die Aggregat-Partition traegt (Doppelzaehlung Aggregat vs. Einzelpos",Guard klassifiziert Aggregat rein per Substring 'AGGREGAT'/'SALDO_GESAMT'; die getarnte Einzelpostenzeile wird dadurch selbst als Aggregat eingestuft und aus de,ja,MEDIUM,"zitate_register/check_006d_amount_axis_and_partition_integrity.py (Z.42-47, keyword-basierte Aggregat-Klassifikation)",NONE
B9,Crosswalk-Zyklus / Self-View (view_of zeigt auf eigenes Register),"Eigener Parser liest view_of und prueft, ob das Ziel-Register das eigene Register ist (Selbstreferenz/Zyklus).",Injektion eines Zyklus-/Selbstverweises wird geblockt,view_of ist FROZEN_SET mit einzigem erlaubten Wert; check_006d_closed_spec_schema meldet FROZEN_SET UNKNOWN_VALUE und blockt. Kontrolle bestaetigt: freie view_o,nein,NONE,zitate_register/check_006d_closed_spec_schema.py (faengt es); check_006d_view_crosswalk_referential_integrity.py liest view_of nicht,BLOCK
